frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"45.30516","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.30924","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.31456","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.32145","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.32514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.32925","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.33379","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.33717","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.34122","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.34527","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.34934","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.35329","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.35732","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.36587","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.37331","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.37738","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.38111","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.3854","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.38914","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.39322","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.39747","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.40565","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.40918","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.4272","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.4334","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.44143","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.44513","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.45408","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.45728","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.46547","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.46929","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.47327","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.4819","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.48526","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.48926","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.49315","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.4972","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.50566","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.5093","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.51768","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.52113","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.53061","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.53307","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.53736","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.54125","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.55016","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.55776","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.56183","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.56955","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.57378","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.57722","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.58117","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.58966","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.5936","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.59729","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.60536","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.60929","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.61514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.6216","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.62515","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.62917","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.63323","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.63778","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.64595","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.65331","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.65812","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.66573","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.66928","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.67323","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.67711","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.68137","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.68938","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.69342","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.70154","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.70514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.71352","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.71779","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.72122","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.73087","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.73741","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.74125","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.74514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.74923","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.75384","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
